1hs_Idle						0
STF_Idle						1
Xbow_Idle						2
Bow_Idle						3
2hs_Idle						4
1hs_Orb_Idle					5
STF_Summon						6
2hs_Summon						7
1hs_Orb_Summon					8
1hs_Summon						9
STF_Directed					10
1hs_Orb_Directed				11
1hs_Directed					12
STF_Channel						13
1hs_Orb_Channel					14
1hs_Channel						15
STF_Aoe2						16
1hs_Orb_Aoe2					17
1hs_Aoe2						18
STF_Aoe							19
2hs_Aoe							20
1hs_Orb_Aoe						21
1hs_Aoe							22
XBow_Run						23
Bow_Run							24
2hs_Run							25
1hs_Orb_Run						26
1hs_Run							27
2hs_KnockBack_End				28
1hs_Orb_KnockBack_End			29
1hs_KnockBack_End				30
2hs_KnockBack					31
Orb_KnockBack					32
1hs_KnockBack					33
XBow_Hit						34
STF_Hit							35
Bow_Hit							36
2hs_Hit							37
1hs_Orb_Hit						38
1hs_Hit							39
XBow_Attack						40
Wand_Orb_Attack					41
Wand_Attack						42
Bow_Range_Attack				43
Bow_Attack						44
2hs_Attack						45
1hs_Orb_Attack					46
1hs Attack						47
Recoll							48
Teleport						49

WEAPON_ID_AXE						O
WEAPON_ID_BOW						O
WEAPON_ID_CEREMONIAL_DAGGER			X
WEAPON_ID_FIST						X
WEAPON_ID_HANDXBOW					X
WEAPON_ID_MACE						O
WEAPON_ID_POLEARM					O
WEAPON_ID_QUIVER					X
WEAPON_ID_MIGHTY1H					X
WEAPON_ID_MIGHTY2H					X
WEAPON_ID_SHIELD					O
WEAPON_ID_SPEAR						O
WEAPON_ID_STAFF						O
WEAPON_ID_SWORD						O
WEAPON_ID_TWO_HAND_AXE				O
WEAPON_ID_TWO_HAND_MACE				O
WEAPON_ID_TWO_HAND_SWORD			O
WEAPON_ID_WAND						O
WEAPON_ID_MOJO						X
WEAPON_ID_CROSSBOW					O
WEAPON_ID_ORB						O
