Idle					0
CB1_Idle				1
CB2_Idle				2
Bow_Idle				3
BigBow_Idle				4
Run						5
CB1_Run					6
CB2_Run					7
Bow_Run					8
BigBow_Run				9
Attack1					10
Attack2					11
CB1_Attack				12
CB2_Attack_Left			13
CB2_Attack_Right		14
Bow_Attack				15
BigBow_Attack			16
CB1_BolaSlot			17
CB2_BolaSlot			18
Bow_BolaSlot			19
BigBow_BolaSlot			20
CB1_RainOfArrow			21
CB2_RainOfArrow			22
Bow_RainOfArrow			23
BigBow_RainOfArrow		24
CB1_MultiShot			25
CB2_MultiShot			26
Bow_MultiShot			27
BigBow_MultiShot		28
FanOfKnives				29
Impale					30
Caltrop					31
Companion				32
Strafe					33
BackFilp				34
Stunned					35
CB1_Stunned				36
CB2_Stunned				37
Bow_Stunned				38
BigBow_Stunned			39
WayPoint				40
Buff					41
CB1_Buff				42
CB2_Buff				43
Bow_Buff				44
BigBow_Buff				45
Hit						46
CB1_Hit					47
CB2_Hit					48
Bow_Hit					49
BigBow_Hit				50


WEAPON_ID_AXE					O
WEAPON_ID_BOW					O
WEAPON_ID_CEREMONIAL_DAGGER		X
WEAPON_ID_FIST					X
WEAPON_ID_HANDXBOW				O
WEAPON_ID_MACE					O
WEAPON_ID_POLEARM				O
WEAPON_ID_QUIVER				O
WEAPON_ID_MIGHTY1H				X
WEAPON_ID_MIGHTY2H				X
WEAPON_ID_SHIELD				O
WEAPON_ID_SPEAR					O
WEAPON_ID_STAFF					X
WEAPON_ID_SWORD					O
WEAPON_ID_TWO_HAND_AXE			X
WEAPON_ID_TWO_HAND_MACE			X
WEAPON_ID_TWO_HAND_SWORD		X
WEAPON_ID_WAND					X
WEAPON_ID_MOJO					X
WEAPON_ID_CROSSBOW				O
